"","tweet_id","airline_sentiment","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","airline_sentiment_gold","name","negativereason_gold","retweet_count","text","tweet_coord","tweet_created","tweet_location","user_timezone"
"23","1795317760","negative","1","Customer Service Issue","0.6364","Southwest","","WorkingWify","","0","@SouthwestAir won't answer their phones #HorribleService #NeverAgain #frustrated #AnswerThePhone","","2015-02-17 05:27:09 -0800","America",""
"24","1875378176","negative","1","Customer Service Issue","0.7188","US Airways","","DonnyYardas","","0","@USAirways reservations had me on hold for 2 hours only to hang up...smh 😕","","2015-02-17 05:38:31 -0800","Somewhere Creating","Eastern Time (US & Canada)"
"25","-276287488","positive","0","","0","Delta","","TravellerLukose","","0","@JetBlue No worries. Delay was minor and dealt with nicely. It was captain of flight 2324 by the way.","","2015-02-17 05:40:59 -0800","",""
"26","1820864513","neutral","0","","0","Southwest","","Tinygami","","0","@SouthwestAir Is it a temporary site glitch or are you no longer offering flights from GRR to GEG after Feb? Can't find any online :(","","2015-02-17 06:07:25 -0800","Michigan","Tehran"
"27","-1178439677","neutral","0","","0","United","","AsianAdidasGirl","","0","@united clicked on the link and got this? #confused http://t.co/xMAQcucWZl","[30.09009009 -95.64621813]","2015-02-17 06:07:45 -0800","Houston","Central Time (US & Canada)"
"28","725753858","neutral","0","","0","Southwest","","DubCook","","0","@SouthwestAir Guys we've got to do something about the inability to check in online for international  flight that has... (1/2)","[21.05483165 -86.78164351]","2015-02-17 06:13:38 -0800","Downtown Dallas Texas","Central Time (US & Canada)"
"29","839393280","negative","1","Cancelled Flight","0.6466","Southwest","","kabell87","","0","@SouthwestAir flight was Cancelled Flightled and it won't let me rebook online. Wait time on phone is too long. Please help","","2015-02-17 06:13:59 -0800","",""
"30","1065885696","neutral","0","","","Delta","","JulianBOGJB","","0","@JetBlue really caring??","","2015-02-17 06:21:57 -0800","Colombia",""
"31","1803702273","negative","1","Flight Attendant Complaints","1","Southwest","","MMKuderka","","0","@SouthwestAir allows other passengers 2 harass u after their gate agents mistakeFURIOUS they are doing NOTHING about it &amp; my 6yo was scared","","2015-02-17 06:29:14 -0800","","Arizona"
"32","843608064","negative","1","Flight Booking Problems","0.6709","Southwest","","kabell87","","0","@SouthwestAir  this is really unhelpful. Why can't I rebook online? http://t.co/N5O43sVl8i","","2015-02-17 06:30:14 -0800","",""
"33","-1602076671","negative","1","Late Flight","1","Delta","","EBlaikie","","0","@JetBlue sitting on the plane in JFK waiting to take off doors are open catering is stocking up we are delayed but they couldn't be nicer","","2015-02-17 06:41:24 -0800","",""
"34","-33423360","negative","1","Late Flight","1","Delta","","elowthers","","0","@JetBlue A flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation.","","2015-02-17 06:44:53 -0800","",""
"35","-95944704","negative","1","Customer Service Issue","0.6963","US Airways","","MarkKersten","","0",".@USAirways we have no choice but to pay another $50 to go to the airport in the hopes that we will be treated better by a rep.","","2015-02-17 06:52:12 -0800","London UK","Quito"
"36","-1417543680","positive","1","","","United","","scherzva","","0","@united New Apple crâpe amazing! Live from UA1207. Really nice crew too.  #AmericanAir has biscuits UA needs them 2 http://t.co/gZ9GqDT7Jj","","2015-02-17 07:07:18 -0800","ÜT: 34.188976-118.613497","Eastern Time (US & Canada)"
"37","2114076672","negative","1","Cancelled Flight","0.6526","Southwest","","lucasdavidson","","0","@SouthwestAir on hold for 2 hours and then you hung up 3 Cancelled Flightled flights. Running out of daycare for our kids who are trapped at home.","","2015-02-17 07:09:37 -0800","","Eastern Time (US & Canada)"
"38","272777217","negative","1","Late Flight","0.7073","United","","wackydunks","","0",".@united call my work and tell them it's your fault I'm Late Flight","","2015-02-17 07:12:58 -0800","grand rapids michigan","Eastern Time (US & Canada)"
"39","-1035853823","negative","1","Can't Tell","0.6843","Southwest","","Raven_TheGreat","","0","@SouthwestAir why have you guys jacked up the prices AFTER you said prices were going to be lowered? SMH","","2015-02-17 07:17:16 -0800","Dallas TX","Central Time (US & Canada)"
"40","-1010688000","negative","1","Customer Service Issue","0.6838","US Airways","","CharNewsJunkie","","0","@USAirways I have been on hold with your Gold reservations line for OVER 3 HOURS now. Flight Cancelled Flightled. Trying to rebook.","","2015-02-17 07:40:44 -0800","Charlotte North Carolina","Eastern Time (US & Canada)"
"41","-33026048","neutral","1","","","United","","Jamie_Fisher886","","0","@united how much does it cost to check in an additional bag? Traveling from newark to glasgow. Thank you :)","","2015-02-17 07:47:09 -0800","Glasgow","London"
"42","1065877505","negative","0","Late Flight","0.6716","US Airways","","sankeshw","","0","@USAirways we are on the 2pm flight FLL to PHL and then connection to MAN. However with the delays we might miss it. Can we go earlier?","","2015-02-17 07:50:06 -0800","North West UK","Casablanca"
"43","432570370","positive","0","","0","Southwest","","DaxJeter","","0","@SouthwestAir thanks do yall expect to be operational tomorrow out of Nashville?","","2015-02-17 07:53:02 -0800","NashvilleTN",""
"44","2026377216","negative","1","Customer Service Issue","0.6721","Southwest","","CBSsoxfan","","0","@SouthwestAir husband on hold 2.5 hrs got disconnected!New wait 30 min. Can't confirm res due to the fact he booked on line! Nuts!","","2015-02-17 07:55:08 -0800","Rhode Island",""
"45","-158826496","negative","1","Flight Attendant Complaints","1","United","","rachaeldoyle21","","0","@united Broken entertainment system on my 8 hour NYC flight terrible cabin crew service and online complaint form won't work #hopeless","","2015-02-17 07:55:15 -0800","Portsmouth UK",""
"46","-158838784","negative","1","longlines","0.3469","United","","lauralscott","","0","@united last night we waited forever at the gate because someone from corporate dispatch FORGOT to call the crew #unfriendlyskies","[0.0 0.0]","2015-02-17 07:56:25 -0800","ÜT: 40.976702-72.210688","Quito"
"47","-574463998","negative","0","Customer Service Issue","0.6701","Southwest","","kukalong","","0","@SouthwestAir Hoping you answer the phone today?","","2015-02-17 08:02:21 -0800","Phoenix AZ","Arizona"
"48","-1732116476","negative","1","Customer Service Issue","0.6966","Southwest","","sahandmirza","","0","@SouthwestAir been on hold for &gt;30 minutes about my Cancelled Flightled flight. Still not talked to anyone and flight is soon. What gives?","","2015-02-17 08:03:17 -0800","San Francisco CA",""
"49","-595460095","neutral","1","","","Delta","","JetBlueNews","","0","@JetBlue CEO weighs profits flyers - @ChronicleHerald (registration) http://t.co/9vKj9S7jrM","","2015-02-17 08:05:06 -0800","USA","Sydney"
"50","-1929240576","negative","1","Bad Flight","1","United","","tcfitz3","","0","@United - Ridiculous to fly outdated 757s anywhere much less btwn IAH and SFO. No power ports no  Wifi no personal entertainment. TORTURE","","2015-02-17 08:05:12 -0800","Houston","Central Time (US & Canada)"
"51","1002577920","negative","1","Late Flight","0.6947","Southwest","","PorterHaney","","0","@SouthwestAir the last 4 times I've arrived @LASairport our gate has been blocked by a slow to depart plane leading to 30-60 min delays","","2015-02-17 08:09:14 -0800","Las Vegas","Pacific Time (US & Canada)"
"52","486670337","negative","1","Can't Tell","0.3587","United","","OHaraAmber","","0","@united what if business as usual meant dropping the bully mentality and fostering inspiration for a greater business #EmployeeRelations","","2015-02-17 08:09:46 -0800","WheatridgeColo",""
"53","-502767616","neutral","0","","0","Southwest","neutral","RachFee","","0","@southwestair - kind of early but any idea when dates through the first week of sept will come available?","","2015-02-17 08:11:29 -0800","London Ontario Canada","Central Time (US & Canada)"
"54","-1765273600","negative","1","Bad Flight","0.337","US Airways","","Jack_Kairys","","0","@USAirways your service has been awful in Boston and I had to pay 25 extra dollars than I was supposed too I am very dissatisfied #mad","","2015-02-17 08:11:57 -0800","",""
"55","1992847360","neutral","1","","","Delta","","Karimilrodz","","0","@JetBlue I hear that the new thing in your planes are the Fly-Fi. How I can check if the flight that Im going to take have it?","","2015-02-17 08:12:43 -0800","Puerto Rico",""
"56","-1874329600","negative","1","Customer Service Issue","1","Southwest","","MyMissus","","0","@SouthwestAir Guys for real. I've been on hold for 4+ hours including one hangup. Please have someone reach out so I can get my $ back.","","2015-02-17 08:14:09 -0800","Brooklyn NY","Eastern Time (US & Canada)"
"57","-2084044796","negative","1","Bad Flight","0.3476","US Airways","","Champa24","","0","@USAirways great job today In ruining 45 people's vacation. Thanks to your incompetent pilot and staff we have all now missed our flights","","2015-02-17 08:15:33 -0800","",""
"58","-1933025280","negative","1","Customer Service Issue","0.6438","Southwest","","mrs_laurelanne","","0","@SouthwestAir can't update my flight online bc it's been Cancelled Flighted twice already. Going on hour 2 on hold.","","2015-02-17 08:15:39 -0800","",""
"59","-1220411392","negative","0","Late Flight","0.6404","Southwest","","DaxJeter","","0","@SouthwestAir I'm showing flight 4720 delayed again. Would my boarding pass still be good or was my seat given away?","","2015-02-17 08:16:19 -0800","NashvilleTN",""
"60","700985344","negative","0","Customer Service Issue","0.7201","Delta","","Darshan7Patel","","0","@JetBlue please provide me your direct email for me to explain.","","2015-02-17 08:19:20 -0800","",""
"61","1321746432","negative","1","Flight Booking Problems","1","Southwest","","portugrad","","0","@SouthwestAir tried to rebook online but it says that I have to pay $200 for difference in price. Please help","","2015-02-17 08:19:50 -0800","Chicagoland Area","Central Time (US & Canada)"
"62","1955086336","positive","1","","","Southwest","","RachFee","","0","@SouthwestAir Beautiful thanks a ton!","","2015-02-17 08:22:50 -0800","London Ontario Canada","Central Time (US & Canada)"
"63","-2146947071","negative","1","Customer Service Issue","0.6674","Southwest","","kristaallison28","","0","@SouthwestAir Cancelled Flightled my flight out of BNA today. Been on hold for an hour. 😠 #frustrated!","","2015-02-17 08:24:40 -0800","orlando",""
"64","-1240956927","neutral","1","","","Southwest","","momof43s","","0","“@SouthwestAir:Southwest mobile boarding passes now available in iOS Passbook! http://t.co/xmRvR4lGEg http://t.co/wJoc9f14SU”@tori_leggieri","[38.56979708 -75.1096009]","2015-02-17 08:26:24 -0800","","Eastern Time (US & Canada)"
"65","-880656384","neutral","1","","","Southwest","","matthewhyah","","0","@SouthwestAir Can you link the article where it says the routes and what times the routes are likely to be? Like TUL-DAL 1:00PM - 7 None","","2015-02-17 08:26:31 -0800","USA",""
"66","-2076024832","negative","1","Cancelled Flight","0.6511","US Airways","","DaFuente","","0","@USAirways I’ve had my flight Cancelled Flightled twice now and after 5 minutes of automated questions the phone just goes to a busy signal. Help?","","2015-02-17 08:26:40 -0800","Atlanta GA","Eastern Time (US & Canada)"
"67","398999552","negative","1","Cancelled Flight","0.6774","US Airways","","LucyALloyd","","0",". @USAirways It's been Cancelled Flighted. Your SM response is slow.","","2015-02-17 08:27:14 -0800","Downers Grove","Central Time (US & Canada)"
"68","1233281026","negative","0","Cancelled Flight","0.6492","Southwest","","challemann","","0","@SouthwestAir Hi-My flight (BNA to LGA) was Cancelled Flighted this morning--#1814. Looks like other flights out of BNA are taking off. Any chance?","","2015-02-17 08:28:37 -0800","New York","Eastern Time (US & Canada)"
"69","-566095872","negative","1","Customer Service Issue","1","US Airways","","CharNewsJunkie","","0","@USAirways Almost 4 hours and coin now. Understand higher call volume but this is unacceptable.","","2015-02-17 08:28:39 -0800","Charlotte North Carolina","Eastern Time (US & Canada)"
"70","-1761079296","negative","1","Customer Service Issue","1","Southwest","","ClaudddiaVS","","0","@SouthwestAir I need updates on my flights 464 &amp; 3574. I have been on hold for over 2 hours.","[30.35571967 -87.27675562]","2015-02-17 08:28:45 -0800","Northridge CA","Pacific Time (US & Canada)"
"71","1782738945","negative","1","Customer Service Issue","1","Southwest","","misskennedys","","1","@SouthwestAir has the WORST customer service of any airline I've ever flown.","","2015-02-17 08:30:05 -0800","","Central Time (US & Canada)"
"72","1405227008","neutral","1","","","Southwest","","dontbhave","","0","@SouthwestAir Where should I fly by May 3rd? Plz advise.","","2015-02-17 08:30:11 -0800","Broomfield CO","Mountain Time (US & Canada)"
"73","1116229633","neutral","0","","0","Southwest","","scottglass70","","0","@SouthwestAir trying to get through to cust relations. Is there another # to use?","","2015-02-17 08:30:48 -0800","Midlothian Virginia",""
"74","-146640894","positive","0","","","Southwest","","christooma","","0","@SouthwestAir finally!","","2015-02-17 08:31:10 -0800","Nashville TN","Central Time (US & Canada)"
"75","-419299326","positive","1","","","Southwest","","spstpierre","","0","@SouthwestAir + @twitter  = outstanding customer service!  Thank you!","","2015-02-17 08:31:48 -0800","Nashville TN","Mountain Time (US & Canada)"
"76","-100118528","negative","1","Customer Service Issue","0.6509","Southwest","","faithfabulous","","0","@SouthwestAir tried online and told I must call b/c of modifications to my reservation. Been on hold for almost 2 hours.","","2015-02-17 08:33:08 -0800","District of Corruption","Quito"
"77","-347975680","negative","1","Late Flight","1","Southwest","","deantak","","0","@SouthwestAir discount for three delays?","","2015-02-17 08:33:33 -0800","Silicon Valley","Pacific Time (US & Canada)"
"78","-1228779520","negative","1","Customer Service Issue","0.6701","United","","TheSapphireLife","","0","@united THRILLED to have my carry-on checked against my will by two nasty gate agents only to see an entire empty bin when I boarded last...","","2015-02-17 08:35:45 -0800","Boston MA",""
"79","1741172736","negative","0","Customer Service Issue","0.6907","US Airways","","DAngel082","","0","@USAirways can't even get on hold to wait to speak to someone-awesome","","2015-02-17 08:35:55 -0800","New York",""
"80","-620601344","positive","0","","","Delta","","JetBlueNews","","0","@JetBlue to offer service from Daytona Beach to New York - Albany Business Review http://t.co/dUhBJ41jHx","","2015-02-17 08:36:06 -0800","USA","Sydney"
"81","-1950207996","negative","0","Customer Service Issue","0.3344","United","","mtezna","","0","@united You know what the United Club needs? Power. MOAR power. Insufficient outlets for the #RoadWarrior (ORD)","","2015-02-17 08:36:09 -0800","Virginia","Eastern Time (US & Canada)"
"82","1208487937","negative","1","Customer Service Issue","1","Southwest","","GameDaySweetie","","0","@SouthwestAir almost 2 hours on hold 2 hours of my life I can't get back.... Thanks http://t.co/IyUZM2PUVS","","2015-02-17 08:36:27 -0800","Nashville TN",""
"83","-66555904","neutral","0","","0","US Airways","","TullamoreEims","","0","@USAirways You need to contact me ASAP. #Furious","","2015-02-17 08:39:08 -0800","Dublin Raised | Brooklyn Based","Dublin"
"84","638062592","negative","1","Flight Booking Problems","1","Southwest","","jjenreich","","1","@SouthwestAir too bad I'm getting this memo: ""Your reservation contains modifications that prevent you from changing it online."" #FUSTURATED","","2015-02-17 08:39:10 -0800","Fort Lauderdale","Central Time (US & Canada)"
"85","-1475858432","negative","1","Customer Service Issue","0.6809","Delta","","JessonaJourney","","0","@JetBlue Is today's JetBlue Flight 918 (NYC-&gt;BOS) delayed? My app says on time and the website says it's not...","","2015-02-17 08:39:10 -0800","New York","Eastern Time (US & Canada)"
"86","1363685377","negative","0","Can't Tell","0.3533","US Airways","","Jack_Kairys","","0","@USAirways it was supposed to be a carry on and in Pittsburgh  coming to Boston it was a carry on","","2015-02-17 08:39:52 -0800","",""
"87","591556608","negative","0","Bad Flight","0.3416","United","","BhutanOrient","","0","@united didn't get her name. She was not in our group. She was sitting behind us. Think it was window seat #40? We only overheard...","","2015-02-17 08:40:01 -0800","Bhutan","Pacific Time (US & Canada)"
"88","-708300798","negative","1","Lost Luggage","1","US Airways","","juliadavis","","0","Yes I filed a report in Atlanta. My bags are in Charlotte NC. 24 hours Late Flightr and still can't find my luggage ... @USAirways","","2015-02-17 08:40:03 -0800","Atlanta Georgia","Eastern Time (US & Canada)"
"89","998400001","positive","0","","0","Southwest","","tonyapoe","","0","@SouthwestAir  Thank you.","","2015-02-17 08:40:17 -0800","","Mountain Time (US & Canada)"
"90","738725888","negative","1","Customer Service Issue","1","US Airways","","jameypricephoto","","0","@USAirways it takes a month?","","2015-02-17 08:40:35 -0800","","Eastern Time (US & Canada)"
"91","2080907264","positive","0","","","US Airways","","Forsyth_Factor","","0","@USAirways thanks for the reply hoping everything is cleared up in Charlotte by Monday","","2015-02-17 08:40:54 -0800","Anderson","Indiana (East)"
"92","1250451456","negative","1","Bad Flight","0.6201","US Airways","","TheTaxDiva","","0","@USAirways @AmericanAir you make Spirit look like the gem of air travel. You haven't handle this winter storm very well...","","2015-02-17 08:41:42 -0800","MiamiHoustonDCHouston","Central Time (US & Canada)"
"93","-922591232","neutral","1","","","Delta","","gigirey1","","0","@JetBlue what's the link for #FlyFi","","2015-02-17 08:42:03 -0800","",""
"94","440557568","negative","1","Can't Tell","1","United","","kat_volk","","0",".@united nothing apparently. I've flown w/ you 4 times in last 3 weeks and 3 of those experiences (incl today) were clusterfucks.","","2015-02-17 08:42:37 -0800","Tucson AZ and Vancouver BC","Arizona"
"95","-1975386112","neutral","1","","","Virgin America","","PlayjtLV","","0","“@VirginAmerica: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckc” @JenniferDawnPro","[36.08546367 -115.31814055]","2015-02-17 08:43:42 -0800","Las Vegas NV",""
"96","780681217","negative","1","Customer Service Issue","0.6577","US Airways","","crshipferling","","0","@USAirways your chairmans phone is down. what other number can i use?","","2015-02-17 08:43:53 -0800","ÜT: 35.029717-80.9659",""
"97","1351106560","negative","1","Late Flight","0.6787","US Airways","","JasonPlizga","","0","@USAirways How soon is possible? I boarded the plane the 1st time at 6:30 am and it is now after 11:30 am and I'm still where I started.","","2015-02-17 08:44:05 -0800","",""
"98","1988640768","negative","1","Late Flight","1","US Airways","","DAngel082","","0","@USAirways  well its 11:45am and just got an email that my 11am flight is delayed-thats not right","","2015-02-17 08:45:42 -0800","New York",""
"99","1640505344","negative","1","Customer Service Issue","1","United","","mlipschits","","0","@united why am i mot getting my refund?","","2015-02-17 08:46:46 -0800","Jerusalem-London-Antwerp",""
"100","1648914432","neutral","0","","0","Delta","","heyheyman","","0","@JetBlue Can't view seat selection/change seat for flight tomorrow. Can you look into this?","","2015-02-17 08:46:58 -0800","Boston MA","Eastern Time (US & Canada)"
"101","-142454784","negative","1","Bad Flight","1","Southwest","","mal0877","","0","@SouthwestAir I'm an A-list Preferred customer and very loyal SWA. However your inflight wifi is no better today than it was 4 years ago.","","2015-02-17 08:47:07 -0800","",""
"102","-188219389","negative","1","Cancelled Flight","0.6838","Southwest","","RichieGlod","","0","@SouthwestAir do you not try to get customers to their destinations? No help to get on another airline if you had no flights for 3 days?","","2015-02-17 08:47:25 -0800","",""
"103","-548921344","positive","0","","","US Airways","","DAngel082","","0","@USAirways  thanks I hope I get to my destination","","2015-02-17 08:47:57 -0800","New York",""
"104","-50200576","positive","1","","","Virgin America","","BBahreman","","4","@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.","","2015-02-17 08:48:29 -0800","Living in a Gangsters Paradise","Pacific Time (US & Canada)"
"105","-1660416000","positive","1","","","Delta","","JessonaJourney","","0","@JetBlue Thank you!","","2015-02-17 08:48:37 -0800","New York","Eastern Time (US & Canada)"
"106","-494387200","negative","0","Can't Tell","0.3609","United","","richardkerris","","0","@united Bad coffee but the juice is ok. #GetPhilz @ United Terminal SFO Airport http://t.co/Sg7IQqFVsO","[37.62006843 -122.38822083]","2015-02-17 08:48:55 -0800","Los Gatos CA ",""
"107","-2134376448","positive","1","","","US Airways","","northerninsgr","","0","@USAirways please give Tara G a pat on the back and praise.  She was very very helpful.  She is at PHL member lounge","","2015-02-17 08:49:13 -0800","Maine",""
"108","209850369","neutral","1","","","Delta","","kbosspotter","","0","@JetBlue I have a internal bleed in my foot and I am flying next Tuesday what should I. Do :( these. Leeds come randomly. I","","2015-02-17 08:49:16 -0800","Logan International Airport","Atlantic Time (Canada)"
"109","419958784","neutral","1","","","Southwest","","city2countryTN","","0","@SouthwestAir do you think the flights out of Nashville will be Cancelled Flighted tomorrow?","","2015-02-17 08:49:18 -0800","TN",""
"110","2059546624","positive","1","","","Delta","","gigirey1","","0","@JetBlue thank you!! Miss you all so so much!! Is this the link to the blog? Or has that changed?","","2015-02-17 08:49:24 -0800","",""
"111","1321746432","negative","1","Cancelled Flight","1","US Airways","","laura_crom","","0","@USAirways I got up at 2 am for a 5 am flight from bos to Charlotte which I found was Cancelled Flightled once I got to the gate (1)","","2015-02-17 08:49:38 -0800","boston","Quito"
"112","1895972864","negative","1","Late Flight","1","United","","alvintylaw","","0","@united did not let me get on the IAH-HNL direct. Now weather delay for my SFO leg. Stop being reactive and be proactive!","","2015-02-17 08:49:42 -0800","Island of Oahu Hawaii",""
"113","809635840","neutral","0","","","Delta","","BritishAirNews","","0","@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Daily Journal http://t.co/w8MTmSP2RY","","2015-02-17 08:50:06 -0800","UK","Sydney"
"114","-1501421568","negative","1","Customer Service Issue","1","Delta","","MakebaMakeba","","0","@JetBlue oh hell no. I'm not waiting again to get hung up on after speaking to 2 #rudeservice people","","2015-02-17 08:50:50 -0800","",""
"115","-1442308093","neutral","0","","0","US Airways","","laura_crom","","0","@USAirways on your website and on your boards at Logan it said it was on time so we went through security and got to the gate (2)","","2015-02-17 08:51:21 -0800","boston","Quito"
"116","407404544","negative","1","longlines","0.6989","US Airways","","Champa24","","0","@USAirways no we haven't because we've been in the same line at the service desk for an 1hr and 1/2 now in the same spot.","","2015-02-17 08:51:31 -0800","",""
"117","1460162560","neutral","1","","","Southwest","","jcfly123","","0","@SouthwestAir trying to fly out of Nashville tomorrow. How is it looking?","","2015-02-17 08:51:45 -0800","Nashville TN","Mountain Time (US & Canada)"
"118","-1626853376","neutral","0","","0","Virgin America","","Todd1HHD","","0","@VirginAmerica was wondering if you guys recieved my dm and we're able to potentially respond asap","","2015-02-17 08:52:11 -0800","Chicago","Central Time (US & Canada)"
"119","248008704","negative","0","Flight Attendant Complaints","0.3416","Southwest","","SkySmiles737","","0","@SouthwestAir kudos to the #RSW CS crew for re-routing PAX to alleviate Over sale due to down graded EQP 800 now 500","","2015-02-17 08:52:12 -0800","",""
"120","248004609","negative","1","Customer Service Issue","0.3596","US Airways","","TheTaxDiva","","0","@USAirways I did and it's been a disaster. You had me sitting on the runway only to bring the plane back to the gate smh","","2015-02-17 08:52:25 -0800","MiamiHoustonDCHouston","Central Time (US & Canada)"
"121","-385744896","neutral","0","","0","Delta","","kbosspotter","","0","@JetBlue no I am fine to fly! Haha they come at random with the hemophilia but what if i need extra assistance","","2015-02-17 08:52:42 -0800","Logan International Airport","Atlantic Time (Canada)"
"122","-1991770112","negative","1","Lost Luggage","1","US Airways","","TheTaxDiva","","0","@USAirways you have the ability to switch my flight to @AmericanAir but you cannot tell me where my bags are.","","2015-02-17 08:52:49 -0800","MiamiHoustonDCHouston","Central Time (US & Canada)"
"123","-871874560","negative","1","Customer Service Issue","1","US Airways","","TheTaxDiva","","0","@USAirways I expect something more than telling me to see an agent to rebook my flight...","","2015-02-17 08:53:12 -0800","MiamiHoustonDCHouston","Central Time (US & Canada)"
"124","-263708672","negative","1","Customer Service Issue","1","US Airways","","TheTaxDiva","","0","@USAirways your customer service is horrible","","2015-02-17 08:53:24 -0800","MiamiHoustonDCHouston","Central Time (US & Canada)"
